step,time_fs,temperature_K,kinetic_eV,potential_eV,total_eV,pressure_GPa,volume_A3,a_A,b_A,c_A,alpha_deg,beta_deg,gamma_deg
1220,1220.0,198.6307470175228,25.469601421211863,-996519.6641556044,-996494.1945541832,-0.3353418977814467,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1230,1230.0,196.95614479026193,25.254874084644754,-996519.4250355347,-996494.17016145,-0.48435752489430145,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1240,1240.0,200.38303334610234,25.694289869676602,-996519.7921245429,-996494.0978346732,-0.7321349272547675,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1250,1250.0,197.47398345052525,25.321274400182194,-996519.4021230377,-996494.0808486375,-0.736990993183126,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1260,1260.0,195.52012251380313,25.070738871126373,-996519.1061894594,-996494.0354505883,-0.6988400233419216,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1270,1270.0,200.16927242098578,25.666880187923415,-996519.6658996312,-996493.9990194433,-0.8639599411274713,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1280,1280.0,196.7226575963764,25.224934984809938,-996519.1891845542,-996493.9642495693,-0.9720683961711387,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1290,1290.0,196.66708785936754,25.21780950663524,-996519.1405301398,-996493.9227206331,-0.8652593936070195,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1300,1300.0,193.97481967961417,24.8725910624269,-996518.7772376391,-996493.9046465766,-0.9789691616328647,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1310,1310.0,194.59369279209338,24.951946609047077,-996518.7820060515,-996493.8300594424,-1.0127348241661875,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1320,1320.0,199.8273792195174,25.62304063286574,-996519.4682224987,-996493.8451818659,-0.7124542668011244,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1330,1330.0,202.6021794778556,25.978841825100673,-996519.876756042,-996493.8979142169,-0.6930389112020601,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1340,1340.0,200.19179028470222,25.669767560710994,-996519.6190528794,-996493.9492853187,-0.48760569150746524,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1350,1350.0,203.38538395799833,26.07926890519811,-996519.9959307878,-996493.9166618825,-0.42215920931963263,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1360,1360.0,201.84944142431507,25.882321329225153,-996519.8340031689,-996493.9516818397,-0.34390997286191854,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1370,1370.0,203.71053462628373,26.120961634281688,-996520.0465837534,-996493.9256221191,-0.4885335662182406,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1380,1380.0,199.6768778847257,25.60374246746053,-996519.468481323,-996493.8647388555,-0.8926127809631872,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1390,1390.0,197.7787419181446,25.36035232148367,-996519.2861068965,-996493.925754575,-0.721129538974701,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1400,1400.0,196.6938815127643,25.221245146297683,-996519.2271576672,-996494.0059125209,-0.6156101915618777,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1410,1410.0,194.9996233922479,25.003997415610762,-996519.0068705549,-996494.0028731392,-0.8828028063337786,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1420,1420.0,200.80436250431202,25.74831516982708,-996519.7228240102,-996493.9745088404,-1.0525584069975713,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1430,1430.0,205.53096754654013,26.35438823912093,-996520.3183628527,-996493.9639746136,-0.7648510197635905,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1440,1440.0,200.2631591651388,25.678918897882564,-996519.6347506408,-996493.955831743,-0.7571197842078143,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1450,1450.0,198.23701996419948,25.419115425123813,-996519.3424509821,-996493.923335557,-0.6853384561420438,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1460,1460.0,197.53295023314172,25.32883546750376,-996519.2691833776,-996493.9403479102,-0.4929728725340006,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1470,1470.0,199.79682845922616,25.619123234882718,-996519.6103063391,-996493.9911831042,-0.46488339428806613,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1480,1480.0,200.2033216124538,25.67124617530667,-996519.6797529316,-996494.0085067563,-0.6249161886808061,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1490,1490.0,205.0753719248208,26.295969091689454,-996520.3591128789,-996494.0631437872,-0.8475974442122145,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1500,1500.0,201.78235747959397,25.873719431686812,-996519.9527900727,-996494.079070641,-0.8992397007007837,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1510,1510.0,204.4984316873201,26.22199042467218,-996520.3323845991,-996494.1103941745,-0.7271206771440897,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1520,1520.0,201.18239668720517,25.796788933866406,-996519.9589519795,-996494.1621630456,-0.4654091208131157,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1530,1530.0,201.0137160562612,25.775159712297587,-996519.9371928041,-996494.1620330918,-0.636132749902629,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1540,1540.0,203.5510885217798,26.100516517949714,-996520.2663732196,-996494.1658567016,-0.5001159572409652,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1550,1550.0,204.21172727211453,26.1852275000463,-996520.356259082,-996494.1710315819,-0.421071740617595,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1560,1560.0,198.190955849896,25.413208813741903,-996519.5603332093,-996494.1471243956,-0.5920576453551886,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
1570,1570.0,194.34965244397202,24.920654321771956,-996519.0691789539,-996494.1485246321,-0.7701581498841301,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
